Project,Variable,min,max
Klimawandel,TIMESTAMP,,
Klimawandel,RECORD,,
Klimawandel,BattV_Avg,-1,50
Klimawandel,Batt_V_Avg,-1,50
Klimawandel,Batt_V_Min,-1,50
Klimawandel,Log_T_Avg,-50,100
Klimawandel,PTemp_C_Avg,-50,100
Klimawandel,Air_T_Avg,-50,100
Klimawandel,Air_T_Std,,
Klimawandel,Air_RH_Avg,-50,150
Klimawandel,Air_RH_Std,,
Klimawandel,Surf_Tbody_Avg,-50,100
Klimawandel,Surf_Tbody_Std,,
Klimawandel,Surf_T0_Avg,-50,100
Klimawandel,Surf_T0_Std,,
Klimawandel,Surf_T_Avg,-50,100
Klimawandel,Surf_T_Std,,
Klimawandel,SWC_P_02_Avg,,
Klimawandel,SWC_P_02_Std,,
Klimawandel,SWC_P_05_Avg,,
Klimawandel,SWC_P_05_Std,,
Klimawandel,SWC_P_20_Avg,,
Klimawandel,SWC_P_20_Std,,
Klimawandel,SWC_P_50_Avg,,
Klimawandel,SWC_P_50_Std,,
Klimawandel,SWC_WC_02_Avg,-1,2
Klimawandel,SWC_WC_02_Std,,
Klimawandel,SWC_WC_05_Avg,-1,2
Klimawandel,SWC_WC_05_Std,,
Klimawandel,SWC_WC_20_Avg,-1,2
Klimawandel,SWC_WC_20_Std,,
Klimawandel,SWC_WC_50_Avg,-1,2
Klimawandel,SWC_WC_50_Std,,
Klimawandel,SWC_ST_02_Avg,-50,100
Klimawandel,SWC_ST_02_Std,,
Klimawandel,SWC_ST_05_Avg,-50,100
Klimawandel,SWC_ST_05_Std,,
Klimawandel,SWC_ST_20_Avg,-50,100
Klimawandel,SWC_ST_20_Std,,
Klimawandel,SWC_ST_50_Avg,-50,100
Klimawandel,SWC_ST_50_Std,,
Klimawandel,SWC_P_A_02_Avg,,
Klimawandel,SWC_P_A_02_Std,,
Klimawandel,SWC_P_A_05_Avg,,
Klimawandel,SWC_P_A_05_Std,,
Klimawandel,SWC_P_A_20_Avg,,
Klimawandel,SWC_P_A_20_Std,,
Klimawandel,SWC_P_A_50_Avg,,
Klimawandel,SWC_P_A_50_Std,,
Klimawandel,SWC_WC_A_02_Avg,-1,2
Klimawandel,SWC_WC_A_02_Std,,
Klimawandel,SWC_WC_A_05_Avg,-1,2
Klimawandel,SWC_WC_A_05_Std,,
Klimawandel,SWC_WC_A_20_Avg,-1,2
Klimawandel,SWC_WC_A_20_Std,,
Klimawandel,SWC_WC_A_50_Avg,-1,2
Klimawandel,SWC_WC_A_50_Std,,
Klimawandel,SWC_ST_A_02_Avg,-50,100
Klimawandel,SWC_ST_A_02_Std,,
Klimawandel,SWC_ST_A_05_Avg,-50,100
Klimawandel,SWC_ST_A_05_Std,,
Klimawandel,SWC_ST_A_20_Avg,-50,100
Klimawandel,SWC_ST_A_20_Std,,
Klimawandel,SWC_ST_A_50_Avg,-50,100
Klimawandel,SWC_ST_A_50_Std,,
Klimawandel,SWC_P_B_02_Avg,,
Klimawandel,SWC_P_B_02_Std,,
Klimawandel,SWC_P_B_05_Avg,,
Klimawandel,SWC_P_B_05_Std,,
Klimawandel,SWC_P_B_20_Avg,,
Klimawandel,SWC_P_B_20_Std,,
Klimawandel,SWC_P_B_50_Avg,,
Klimawandel,SWC_P_B_50_Std,,
Klimawandel,SWC_WC_B_02_Avg,-1,2
Klimawandel,SWC_WC_B_02_Std,,
Klimawandel,SWC_WC_B_05_Avg,-1,2
Klimawandel,SWC_WC_B_05_Std,,
Klimawandel,SWC_WC_B_20_Avg,-1,2
Klimawandel,SWC_WC_B_20_Std,,
Klimawandel,SWC_WC_B_50_Avg,-1,2
Klimawandel,SWC_WC_B_50_Std,,
Klimawandel,SWC_ST_B_02_Avg,-50,100
Klimawandel,SWC_ST_B_02_Std,,
Klimawandel,SWC_ST_B_05_Avg,-50,100
Klimawandel,SWC_ST_B_05_Std,,
Klimawandel,SWC_ST_B_20_Avg,-50,100
Klimawandel,SWC_ST_B_20_Std,,
Klimawandel,SWC_ST_B_50_Avg,-50,100
Klimawandel,SWC_ST_B_50_Std,,
Klimawandel,SWC_P_C_02_Avg,,
Klimawandel,SWC_P_C_02_Std,,
Klimawandel,SWC_P_C_05_Avg,,
Klimawandel,SWC_P_C_05_Std,,
Klimawandel,SWC_P_C_20_Avg,,
Klimawandel,SWC_P_C_20_Std,,
Klimawandel,SWC_P_C_50_Avg,,
Klimawandel,SWC_P_C_50_Std,,
Klimawandel,SWC_WC_C_02_Avg,-1,2
Klimawandel,SWC_WC_C_02_Std,,
Klimawandel,SWC_WC_C_05_Avg,-1,2
Klimawandel,SWC_WC_C_05_Std,,
Klimawandel,SWC_WC_C_20_Avg,-1,2
Klimawandel,SWC_WC_C_20_Std,,
Klimawandel,SWC_WC_C_50_Avg,-1,2
Klimawandel,SWC_WC_C_50_Std,,
Klimawandel,SWC_ST_C_02_Avg,-50,100
Klimawandel,SWC_ST_C_02_Std,,
Klimawandel,SWC_ST_C_05_Avg,-50,100
Klimawandel,SWC_ST_C_05_Std,,
Klimawandel,SWC_ST_C_20_Avg,-50,100
Klimawandel,SWC_ST_C_20_Std,,
Klimawandel,SWC_ST_C_50_Avg,-50,100
Klimawandel,SWC_ST_C_50_Std,,
Klimawandel,SWP_WP_05_Avg,-100000,1
Klimawandel,SWP_WP_05_Std,,
Klimawandel,SWP_ST_05_Avg,-50,100
Klimawandel,SWP_ST_05_Std,,
Klimawandel,SWP_WP_20_Avg,-100000,1
Klimawandel,SWP_WP_20_Std,,
Klimawandel,SWP_ST_20_Avg,-50,100
Klimawandel,SWP_ST_20_Std,,
Klimawandel,SWP_WP_50_Avg,-100000,1
Klimawandel,SWP_WP_50_Std,,
Klimawandel,SWP_ST_50_Avg,-50,100
Klimawandel,SWP_ST_50_Std,,
Klimawandel,SR_SW_Avg,-500,2000
Klimawandel,SR_SW_Std,,
Klimawandel,PAR_Up_Avg,-1000,4000
Klimawandel,PAR_Up_Std,,
Klimawandel,PAR_Soil_Avg,-1000,4000
Klimawandel,PAR_Soil_Std,,
Klimawandel,PAR_Soil_In_Avg,-1000,4000
Klimawandel,PAR_Soil_In_Std,,
Klimawandel,PAR_Soil_Out_Avg,-1000,4000
Klimawandel,PAR_Soil_Out_Std,,
Klimawandel,NDVI_Up_Red_Avg,-1,10
Klimawandel,NDVI_Up_Red_Std,,
Klimawandel,NDVI_Up_NIR_Avg,-1,10
Klimawandel,NDVI_Up_NIR_Std,,
Klimawandel,NDVI_Dn_Red_Avg,-1,10
Klimawandel,NDVI_Dn_Red_Std,,
Klimawandel,NDVI_Dn_NIR_Avg,-1,10
Klimawandel,NDVI_Dn_NIR_Std,,
Klimawandel,PRI_Up_Green_Avg,-1,10
Klimawandel,PRI_Up_Green_Std,,
Klimawandel,PRI_Up_Yellow_Avg,-1,10
Klimawandel,PRI_Up_Yellow_Std,,
Klimawandel,PRI_Dn_Green_Avg,-1,10
Klimawandel,PRI_Dn_Green_Std,,
Klimawandel,PRI_Dn_Yellow_Avg,-1,10
Klimawandel,PRI_Dn_Yellow_Std,,
Klimawandel,ST_02_Avg,-50,100
Klimawandel,ST_02_Std,,
Klimawandel,SWC_05_Avg,-1,2
Klimawandel,SWC_05_Std,,
Klimawandel,ST_05_Avg,-50,100
Klimawandel,ST_05_Std,,
Klimawandel,SWC_20_Avg,-1,2
Klimawandel,SWC_20_Std,,
Klimawandel,ST_20_Avg,-50,100
Klimawandel,ST_20_Std,,
Klimawandel,PARup_Avg,-1000,4000
Klimawandel,PARup_Std,,
Klimawandel,PARdn_Avg,-1000,4000
Klimawandel,PARdn_Std,,
Klimawandel,NDVI_UpRed_Avg,-1,10
Klimawandel,NDVI_UpRed_Std,,
Klimawandel,NDVI_UpNIR_Avg,-1,10
Klimawandel,NDVI_UpNIR_Std,,
Klimawandel,NDVI_DownRed_Avg,-1,10
Klimawandel,NDVI_DownRed_Std,,
Klimawandel,NDVI_DownNIR_Avg,-1,10
Klimawandel,NDVI_DownNIR_Std,,
Klimawandel,NDVI_Up_Tilt_Avg,0,2
Klimawandel,NDVI_Dn_Tilt_Avg,0,2
Klimawandel,NDVI_Ind1_Avg,0,2
Klimawandel,NDVI_Ind2_Avg,0,2
Klimawandel,NDVI_Avg,-2,2
Klimawandel,NDVI_Std,,
Klimawandel,PRI_UpRed_Avg,-1,10
Klimawandel,PRI_UpRed_Std,,
Klimawandel,PRI_UpNIR_Avg,-1,10
Klimawandel,PRI_UpNIR_Std,,
Klimawandel,PRI_DownRed_Avg,-1,10
Klimawandel,PRI_DownRed_Std,,
Klimawandel,PRI_DownNIR_Avg,-1,10
Klimawandel,PRI_DownNIR_Std,,
Klimawandel,PRI_Up_Tilt_Avg,0,2
Klimawandel,PRI_Dn_Tilt_Avg,0,2
Klimawandel,PRI_Ind1_Avg,0,2
Klimawandel,PRI_Ind2_Avg,0,2
Klimawandel,PRI_Avg,-2,2
Klimawandel,PRI_Std,,
Klimawandel,NDVI_Down_Red_Avg,-1,10
Klimawandel,NDVI_Down_Red_Std,,
Klimawandel,NDVI_Down_NIR_Avg,-1,10
Klimawandel,NDVI_Down_NIR_Std,,
Klimawandel,NDVI_Down_Tilt_Avg,0,2
Klimawandel,PRI_Down_Green_Avg,-1,10
Klimawandel,PRI_Down_Green_Std,,
Klimawandel,PRI_Down_Yellow_Avg,-1,10
Klimawandel,PRI_Down_Yellow_Std,,
Klimawandel,PRI_Down_Tilt_Avg,0,2
Klimawandel,TIMESTAMP,,
Klimawandel,RECORD,,
Klimawandel,BattV_Avg,-1,50
Klimawandel,T_Log_Avg,-50,100
Klimawandel,WPrecip_Int_Avg,-1,1000
Klimawandel,WPrecip_Int_Std,,
Klimawandel,WPrecip_Int_Max,-1,1000
Klimawandel,WPrecip__Tot,-1,100
Klimawandel,WPrecip_NRT_Tot,-1,100
Klimawandel,WPrecip_NRT_CK,-1,
Klimawandel,WPrecip_BucketContent,-10,100
Klimawandel,WPrecip_BucketContent_NRT,-10,100
Klimawandel,WPrecip_BucketLevel,-20,150
Klimawandel,WPrecip_T_Cell_Avg,-50,100
Klimawandel,WPrecip_T_Cell_Std,,
Klimawandel,WPrecip_PluvioStatus,,
Klimawandel,WPrecip_HeatStatus,,
Klimawandel,WPrecip_T_EleUnit_Avg,-50,100
Klimawandel,WPrecip_T_EleUnit_Std,,
Klimawandel,WPrecip_T_HeatRim_Avg,-50,100
Klimawandel,WPrecip_T_HeatRim_Std,,
Klimawandel,WPrecip_SupplyV_Avg,-1,50
Klimawandel,WPrecip_SupplyV_Std,,
Klimawandel,SWC_02_Avg,-1,2
Klimawandel,SWC_02_Std,,
Klimawandel,SWC_T_02_Avg,-50,100
Klimawandel,SWC_T_02_Std,,
Klimawandel,SWC_05_Avg,-1,2
Klimawandel,SWC_05_Std,,
Klimawandel,SWC_T_05_Avg,-50,100
Klimawandel,SWC_T_05_Std,,
Klimawandel,SWC_20_Avg,-1,2
Klimawandel,SWC_20_Std,,
Klimawandel,SWC_T_20_Avg,-50,100
Klimawandel,SWC_T_20_Std,,
Klimawandel,SWC_50_Avg,-1,2
Klimawandel,SWC_50_Std,,
Klimawandel,SWC_T_50_Avg,-50,100
Klimawandel,SWC_T_50_Std,,
Klimawandel,SWP_05_Avg,-100000,1
Klimawandel,SWP_05_Std,,
Klimawandel,SWP_T_05_Avg,-50,100
Klimawandel,SWP_T_05_Std,,
Klimawandel,SWP_20_Avg,-100000,1
Klimawandel,SWP_20_Std,,
Klimawandel,SWP_T_20_Avg,-50,100
Klimawandel,SWP_T_20_Std,,
Klimawandel,SWP_50_Avg,-100000,1
Klimawandel,SWP_50_Std,,
Klimawandel,SWP_T_50_Avg,-50,100
Klimawandel,SWP_T_50_Std,,
Klimawandel,PAR_Tot_Avg,-1000,4000
Klimawandel,PAR_Tot_Std,,
Klimawandel,PAR_Dif_Avg,-1000,4000
Klimawandel,PAR_Dif_Std,,
Klimawandel,SunCount_Tot,0,15
Klimawandel,SunCount_IUBK_Tot,0,15
Klimawandel,NDVI_UpRed_Avg,-1,10
Klimawandel,NDVI_UpRed_Std,,
Klimawandel,NDVI_UpNIR_Avg,-1,10
Klimawandel,NDVI_UpNIR_Std,,
Klimawandel,NDVI_DnRed_Avg,-1,10
Klimawandel,NDVI_DnRed_Std,,
Klimawandel,NDVI_DnNIR_Avg,-1,10
Klimawandel,NDVI_DnNIR_Std,,
Klimawandel,NDVI_Ind1_Avg,,
Klimawandel,NDVI_Ind2_Avg,,
Klimawandel,NDVI_Avg,-2,2
Klimawandel,NDVI_Std,,
Klimawandel,PRI_UpRed_Avg,-1,10
Klimawandel,PRI_UpRed_Std,,
Klimawandel,PRI_UpNIR_Avg,-1,10
Klimawandel,PRI_UpNIR_Std,,
Klimawandel,PRI_DnRed_Avg,-1,10
Klimawandel,PRI_DnRed_Std,,
Klimawandel,PRI_DnNIR_Avg,-1,10
Klimawandel,PRI_DnNIR_Std,,
Klimawandel,PRI_Ind1_Avg,,
Klimawandel,PRI_Ind2_Avg,,
Klimawandel,PRI_Avg,-2,2
Klimawandel,PRI_Std,,
Klimawandel,LWmV_Std,,
Klimawandel,LWmV_Min,200,3000
Klimawandel,LWmV_Max,200,3000
Klimawandel,LWM_Dry_Tot,0,15
Klimawandel,LWM_Con_Tot,0,15
Klimawandel,LWM_Wet_Tot,0,15
Klimawandel,BattV_Min,-1,50
Klimawandel,T_Box_Avg,-50,100
Klimawandel,T_Box_Std,,
Klimawandel,T_Air_Avg,-50,100
Klimawandel,T_Air_Std,,
Klimawandel,RH_Avg,-50,150
Klimawandel,RH_Std,,
Klimawandel,SR_Avg,-500,2000
Klimawandel,SR_Std,,
Klimawandel,PAR_Avg,-1000,4000
Klimawandel,PAR_Std,,
Klimawandel,PAR_Dn_L_Avg,-1000,4000
Klimawandel,PAR_Dn_L_Std,,
Klimawandel,PAR_Dn_T_Avg,-1000,4000
Klimawandel,PAR_Dn_T_Std,,
Klimawandel,PAR_SnowHeight_00_Avg,-1000,4000
Klimawandel,PAR_SnowHeight_00_Std,,
Klimawandel,PAR_SnowHeight_20_Avg,-1000,4000
Klimawandel,PAR_SnowHeight_20_Std,,
Klimawandel,Precip_Tot,-1,100
Klimawandel,Precip_CS_Tot,,
Klimawandel,Wind_Speed,-5,50
Klimawandel,Wind_Dir,-10,400
Klimawandel,Wind_Dir_Std,,
Klimawandel,n_TOT,,
